year_weeks,other_יהודה ושומרון,other_מחוז הדרום,other_מחוז המרכז,other_מחוז הצפון,other_מחוז חיפה,other_מחוז ירושלים,other_מחוז תל אביב,אבטיחים_other,אבטיחים_יהודה ושומרון,אבטיחים_מחוז הדרום,אבטיחים_מחוז המרכז,אבטיחים_מחוז הצפון,אבטיחים_מחוז חיפה,אבטיחים_מחוז תל אביב,אשכוליות_other,אשכוליות_יהודה ושומרון,אשכוליות_מחוז הדרום,אשכוליות_מחוז המרכז,אשכוליות_מחוז הצפון,אשכוליות_מחוז חיפה,אשכוליות_מחוז ירושלים,אשכוליות_מחוז תל אביב,בטטות_other,בטטות_מחוז הדרום,בטטות_מחוז המרכז,בטטות_מחוז הצפון,בטטות_מחוז חיפה,בטטות_מחוז תל אביב,בצלים_other,בצלים_יהודה ושומרון,בצלים_מחוז הדרום,בצלים_מחוז המרכז,בצלים_מחוז הצפון,בצלים_מחוז חיפה,בצלים_מחוז ירושלים,בצלים_מחוז תל אביב,גזרים_other,גזרים_מחוז הדרום,גזרים_מחוז המרכז,גזרים_מחוז הצפון,גזרים_מחוז חיפה,גזרים_מחוז ירושלים,גזרים_מחוז תל אביב,חסה_other,חסה_יהודה ושומרון,חסה_מחוז הדרום,חסה_מחוז המרכז,חסה_מחוז הצפון,חסה_מחוז חיפה,חסה_מחוז ירושלים,חסה_מחוז תל אביב,חצילים_other,חצילים_יהודה ושומרון,חצילים_מחוז הדרום,חצילים_מחוז המרכז,חצילים_מחוז הצפון,חצילים_מחוז חיפה,חצילים_מחוז ירושלים,חצילים_מחוז תל אביב,כרוב_other,כרוב_יהודה ושומרון,כרוב_מחוז הדרום,כרוב_מחוז המרכז,כרוב_מחוז הצפון,כרוב_מחוז חיפה,כרוב_מחוז ירושלים,כרוב_מחוז תל אביב,לימונים_other,לימונים_מחוז הדרום,לימונים_מחוז המרכז,לימונים_מחוז הצפון,לימונים_מחוז חיפה,לימונים_מחוז תל אביב,לפת_other,לפת_יהודה ושומרון,לפת_מחוז הדרום,לפת_מחוז המרכז,לפת_מחוז הצפון,לפת_מחוז חיפה,לפת_מחוז תל אביב,מלונים_other,מלונים_יהודה ושומרון,מלונים_מחוז הדרום,מלונים_מחוז המרכז,מלונים_מחוז הצפון,מלונים_מחוז חיפה,מלונים_מחוז ירושלים,מלונים_מחוז תל אביב,מלפפונים_other,מלפפונים_יהודה ושומרון,מלפפונים_מחוז הדרום,מלפפונים_מחוז המרכז,מלפפונים_מחוז הצפון,מלפפונים_מחוז חיפה,מלפפונים_מחוז ירושלים,מלפפונים_מחוז תל אביב,סלק_other,סלק_יהודה ושומרון,סלק_מחוז הדרום,סלק_מחוז המרכז,סלק_מחוז הצפון,סלק_מחוז חיפה,סלק_מחוז ירושלים,סלק_מחוז תל אביב,עגבניות_other,עגבניות_יהודה ושומרון,עגבניות_מחוז הדרום,עגבניות_מחוז המרכז,עגבניות_מחוז הצפון,עגבניות_מחוז חיפה,עגבניות_מחוז ירושלים,עגבניות_מחוז תל אביב,ענבים_other,ענבים_יהודה ושומרון,ענבים_מחוז הדרום,ענבים_מחוז המרכז,ענבים_מחוז הצפון,ענבים_מחוז חיפה,ענבים_מחוז תל אביב,פומלית_other,פומלית_מחוז הדרום,פומלית_מחוז המרכז,פומלית_מחוז הצפון,פומלית_מחוז חיפה,פומלית_מחוז תל אביב,פלפלים_other,פלפלים_יהודה ושומרון,פלפלים_מחוז הדרום,פלפלים_מחוז המרכז,פלפלים_מחוז הצפון,פלפלים_מחוז חיפה,פלפלים_מחוז ירושלים,פלפלים_מחוז תל אביב,צנון_other,צנון_יהודה ושומרון,צנון_מחוז הדרום,צנון_מחוז המרכז,צנון_מחוז הצפון,צנון_מחוז ירושלים,צנון_מחוז תל אביב,צנונית_other,צנונית_יהודה ושומרון,צנונית_מחוז הדרום,צנונית_מחוז המרכז,צנונית_מחוז הצפון,קולורבי_other,קולורבי_יהודה ושומרון,קולורבי_מחוז הדרום,קולורבי_מחוז המרכז,קולורבי_מחוז הצפון,קולורבי_מחוז חיפה,קולורבי_מחוז ירושלים,קולורבי_מחוז תל אביב,קישואים_other,קישואים_יהודה ושומרון,קישואים_מחוז הדרום,קישואים_מחוז המרכז,קישואים_מחוז הצפון,קישואים_מחוז חיפה,קישואים_מחוז ירושלים,קישואים_מחוז תל אביב,קלמנטינות_other,קלמנטינות_יהודה ושומרון,קלמנטינות_מחוז הדרום,קלמנטינות_מחוז המרכז,קלמנטינות_מחוז הצפון,קלמנטינות_מחוז חיפה,קלמנטינות_מחוז תל אביב,"תפו""א_other","תפו""א_יהודה ושומרון","תפו""א_מחוז הדרום","תפו""א_מחוז המרכז","תפו""א_מחוז הצפון","תפו""א_מחוז חיפה","תפו""א_מחוז ירושלים","תפו""א_מחוז תל אביב",תפוזים_other,תפוזים_מחוז הדרום,תפוזים_מחוז המרכז,תפוזים_מחוז הצפון,תפוזים_מחוז חיפה,תפוזים_מחוז תל אביב,תפוחים_other,תפוחים_מחוז הדרום,תפוחים_מחוז המרכז,תפוחים_מחוז הצפון,תפוחים_מחוז חיפה,תפוחים_מחוז תל אביב
2020-01-13/2020-01-19,5.5068507,2162.8726,1798.6102,2881.2336,294.02893,1.2433913,92.02694,0.429824,0.0006773065,1.7277341,2.9664495,0.8824702,0.20250249,0.0038267928,1753.1787,23.063622,2281.6052,2018.3506,3306.9756,388.50925,135.7189,185.93942,1577.8578,1067.7965,3613.1633,4.9446216,349.65765,12.126505,245.35275,0.4496626,1031.498,127.14041,2270.3293,101.861626,0.25177604,0.34795627,1911.0088,4602.7803,1783.5466,6746.4614,145.26573,0.22949183,0.41312307,53.233673,0.2013098,619.075,71.007904,23.220732,2.336513,0.0021097995,0.16259836,34.489845,0.17858508,2133.4473,739.4213,78.28801,474.26334,0.019364934,0.68143255,2265.478,24.236362,4175.998,2608.1362,2262.19,71.51594,0.3864162,125.17346,1983.1562,3617.3042,2283.1125,1105.1625,439.4729,30.370375,1177.4187,31.82411,591.7816,1.0828723,1373.6077,0,9.870007,0.56970507,0.058191855,53.326786,9.309958,4.0030565,0.02378365,0.005209739,0.14894861,25.707022,0.035594825,320.7894,2832.4407,39.19094,143.18364,0.008994101,15.924214,1541.162,72.81583,2811.0994,21.936918,10994.307,24.198427,1.1311685,1.8065897,481.45355,0.20757723,7274.9546,1016.9599,240.42485,140.645,0.6143594,105.320206,0.34596288,0.015264051,28.824017,0.7451493,1.5077664,0.027695842,0,1850.3912,2028.2067,2130.2666,486.43106,88.28652,185.76431,742.04315,133.62045,9765.511,2411.6338,325.00595,1099.5623,5.5371857,0,769.59357,13.189842,735.6127,46.92038,2009.6527,0,11.762545,2917.2798,2.4240742,5816.9673,7.898959,237.50465,48.231743,0.26326954,399.40765,126.27509,3916.7627,24.306486,0.02897589,0.4418977,13.363271,0,598.8967,328.50696,6.240645,25.472067,0.103664815,0.83715034,9580.209,20.407724,14690.852,11029.235,2073.5784,2123.007,105.35567,2325.3813,0,10663.865,3808.8875,286.6233,1194.0679,0,18.97225,7672.804,5292.5913,3021.0308,103.01512,137.68451,142.37062,352.89496,2.9790359,44.03513,68.09163,4.206681,1.5223733
2020-01-20/2020-01-26,70.25476,3417.496,1948.7753,2444.7466,490.43674,2.0739603,125.79461,0.08552454,0.000898593,0.2838958,0.5145576,0.1530725,0.03512589,0.00054398406,1298.2968,32.758553,1395.3074,1302.9897,2134.8894,250.81053,8.508909,126.78595,976.76666,748.2134,1949.8777,2.6684086,188.69597,5.3630075,208.1835,4.006749,1138.3606,160.6388,2644.937,118.668945,0.21363339,0.42815983,1621.5042,3225.198,1319.2784,4990.3135,107.45217,0.16975339,0.3227648,14.289942,19.586147,217.54459,14.349055,8.613811,0.8667378,0.0007826385,0.049429864,52.640797,1.8174057,1009.23785,983.82874,104.16524,631.02576,0.025765728,0.41307425,2368.1064,168.92159,3604.824,2376.6665,2061.4229,65.16897,0.28582928,93.476776,1682.7217,2534.671,1688.8043,817.4819,325.0754,18.410067,999.04785,180.048,86.02447,0.8009927,1016.04913,0,5.98305,0.14664412,0.101772085,11.550935,2.128799,0.91533154,0.0054383315,0.0011912503,0.0279111,16.35231,0.15097007,168.51144,1570.671,21.732498,79.399506,0.0049874913,7.23662,2721.2778,420.93445,2012.6572,16.58001,5259.3833,18.28925,0.85494083,1.1189792,392.70218,1.1289232,4900.279,723.11835,170.95622,100.006874,0.4368452,63.843544,0.0023730763,0.0006981178,0.16327466,0.0044557624,0.009015978,0.00016561277,0,1570.0697,1421.1803,1575.7451,359.81006,65.305,112.60762,629.6287,343.59897,6842.77,1783.8706,240.4049,813.3394,4.0958147,0,400.2181,74.6228,315.91196,21.271238,911.07245,0,4.3700495,2475.3274,6.2333884,4075.9944,5.8428044,175.68073,41.0889,7.32241,903.2508,459.1896,2894.202,24.244251,0.10536847,1.1985261,68.048035,0,419.6516,99.96015,4.616161,18.841513,0.07668012,0.5074679,8128.8735,115.45863,10293.995,8158.2534,1533.8131,1570.3751,63.865074,1973.0974,0,7472.254,2817.405,212.01349,883.2446,0,11.500705,6510.4272,3708.5603,2234.639,76.199646,64.323845,86.302956,144.1829,1.0051368,15.684263,24.25258,1.4983177,0.9228397
2020-01-27/2020-02-02,415.9241,41042.8,31518.225,54165.855,9711.662,222.10147,1424.6644,20.972042,0.10728873,55.415863,38.353786,38.605553,14.0278425,0.124248035,4231.9697,93.379745,4492.325,3669.835,6619.482,1331.461,1.6264443,298.67117,2346.2114,1295.0951,2644.6433,34.19292,738.1633,11.998844,1170.354,1.0595205,1239.9698,225.53441,890.3788,61.304417,1.4030397,0.168048,8346.211,18778.582,1275.2773,9849.5205,480.9036,1.7628688,0.6410157,1170.914,14.375474,4904.01,1171.2953,457.94562,72.965454,0.35631204,2.379903,369.36157,0.530272,2305.53,346.4357,214.5162,36.417637,0.13598819,0.45306718,5064.3384,175.89304,12810.546,4391.6353,4534.101,226.97383,12.127254,186.19992,3465.8823,7399.4404,3005.51,1731.7408,1855.9158,35.319305,4609.721,404.50018,547.9449,3.1934028,4821.7544,0,25.713734,3.9481144,1.3897884,176.632,51.588036,26.403362,0.24840316,0.29426175,0.72913706,180.93257,2.4874067,1841.6161,22510.95,247.31482,4375.674,1.4864476,635.8185,2470.362,198.65103,1926.7953,13.885317,8283.512,28.869827,7.2983575,1.0102078,5052.9434,2.4329093,25847.8,8039.458,2262.3994,2095.6785,49.50665,1303.9431,6.3156943,0.9046481,429.20084,7.711062,24.678858,0.71782166,0,2831.0984,2531.149,2455.042,667.28656,191.77693,189.12917,1025.0415,599.2438,8890.708,2509.322,402.53412,1259.5302,14.313395,0,1745.9907,97.14904,1361.2678,80.18171,1925.5186,0,17.757677,7966.3193,21.490438,12956.634,16.247396,581.50366,846.1857,14.99517,3654.4053,1668.7201,12519.46,605.4318,3.9031963,6.428813,36.49168,0,1333.9725,675.7076,15.279528,98.75423,2.173517,1.5212086,18237.348,126.12447,22811.191,15814.84,3539.2056,3380.5427,699.0173,4405.4653,0,16478.867,5435.3613,213.95905,3211.7144,0,143.84854,11669.876,4633.049,1354.2122,173.92078,491.32455,499.659,3865.9954,26.619883,105.44951,668.81976,235.03142,2.3652692
2020-02-03/2020-02-09,18.403175,7309.6016,5435.89,8678.065,982.60693,4.155257,307.54266,1.1197358,0.0015666876,4.041549,25.647058,2.041255,0.46841127,0.008851815,2203.4343,25.73795,2574.8992,2036.9829,3690.4294,433.55807,9.2123995,207.49977,1422.1849,864.2164,2615.1313,3.957248,279.8358,9.705013,856.82806,0.5651464,1311.0406,144.5115,2853.394,128.02197,0.316438,0.4373194,3841.3389,9514.525,1537.017,3509.7583,138.42444,0.21868394,0.39366722,536.54504,1.8015951,2473.798,574.70233,207.81068,20.910316,0.018881371,1.4551524,153.20244,0.060154304,1052.7286,153.18645,26.370373,9.446858,0.0065228525,0.4539872,2862.0183,27.186422,4737.155,2645.815,2537.5442,80.22087,0.43345103,140.4096,2165.5435,3546.8215,2001.9542,1071.5393,725.22473,29.446428,2121.6184,50.91725,1532.6719,1.5668608,2197.7146,0,15.791595,0.6745217,0.06493941,60.181866,9.395909,4.4672275,0.026541457,0.005813821,0.16621985,65.91219,0.24782766,738.55023,8742.326,89.221985,996.9107,0.06262104,110.87179,1855.1274,40.799755,1592.8704,11.116106,6160.27,13.55874,0.6338106,1.0122591,2325.6133,0.30624768,13096.279,3944.6108,1031.1808,603.22504,2.6349845,800.79083,0.43481407,0.017033981,32.52927,0.75202817,1.682597,0.030907296,0,1932.1324,1901.6533,1786.1755,450.9897,81.853966,172.22952,491.5807,78.59783,11020.834,1282.9031,191.17397,646.781,3.2570696,0,803.59045,12.22884,689.7129,39.34156,1863.2294,0,10.905534,3666.4941,2.705155,6564.725,7.97188,265.04404,60.618748,0.29379672,450.7504,127.4408,1022.42505,27.124903,0.032335762,0.49313724,16.795275,0,675.88324,331.53958,6.9642735,28.425652,0.11568518,0.93422085,8393.721,15.87618,11557.724,7759.6367,1613.1382,973.0644,81.961334,2027.6129,0,8349.332,2666.8894,221.90869,924.46796,0,14.688647,7917.49,3460.3403,979.4699,116.85433,208.47357,256.86755,439.2904,3.3298752,44.017212,75.261314,4.6496263,1.6826721
2020-02-10/2020-02-16,61.233482,6042.4272,4619.817,7375.2544,835.09125,3.5314405,256.34277,1.9967834,0.010215127,6.546836,12.894721,3.3995192,0.7800951,0.014458165,2005.1624,44.244476,2128.5203,1731.177,3136.3967,368.46936,7.829368,172.95506,1294.2123,714.39764,2222.5266,3.3631594,237.8249,8.089313,1053.5597,2.5408115,1464.3663,538.4732,1974.7654,147.01263,0.36337808,0.49252722,3495.6782,7865.1113,1306.2694,2982.8462,117.6432,0.18585356,0.32812908,488.26505,5.994497,2044.9457,488.42407,176.61272,17.771107,0.016046766,1.2128968,252.4145,0.36237755,1575.5535,235.70761,95.401794,14.535869,0.010036687,0.37840694,2121.119,73.67005,5365.494,1831.2891,1756.3491,55.524494,0.30001098,95.31376,1451.6326,3099.1384,1253.2815,670.8147,454.01175,18.079582,1930.7086,169.41849,229.49826,1.3316325,1867.7784,0,13.16259,0.6138258,0.21607468,49.748856,7.985325,3.7965744,0.02255687,0.0049410104,0.13854735,59.98121,0.82460386,610.5167,7429.8677,75.82737,847.24756,0.053219926,257.61163,1688.1973,135.75424,1316.7338,9.44728,5235.4478,11.523203,0.5386584,0.843737,2116.3472,1.0189862,10825.941,3352.4155,876.37286,512.66473,2.2394018,667.4747,1.3462257,0.19283077,91.48655,2.174469,4.865182,0.08936755,0,1758.2731,1571.9867,1518.0226,383.284,69.56548,143.55664,447.3467,261.52084,9110.29,1090.3048,162.47362,549.68176,2.7680945,0,344.36346,19.1608,268.4842,15.744862,745.68134,0,9.089967,3336.5667,9.000936,5426.6807,6.7750816,225.2538,353.65924,6.2671623,1527.3424,694.37036,4839.2925,24.013702,0.17618378,3.2838569,15.283973,0,558.7135,281.76657,5.9187465,24.15819,0.098317675,0.77869064,7638.424,52.82526,9554.105,6594.7065,1370.9628,826.98126,357.81952,1845.1602,0,6901.9126,2266.5176,82.88011,785.6805,0,73.634575,4887.752,1940.479,564.69946,67.370705,120.19248,255.77013,399.7617,2.7526152,37.40906,63.962536,3.9515903,1.4025388
2020-02-17/2020-02-23,65.57764,6471.108,4947.5703,7898.4927,894.33685,35.01813,224.62311,1.8295733,0.009359715,5.9986057,11.81492,3.1148443,0.71477014,0.010839225,1898.2468,41.885365,2015.0271,1638.8704,2969.1594,348.8225,0.72953945,133.96848,1052.3899,580.9131,2380.205,3.6017592,193.38753,5.382065,3005.7136,2.7210698,1568.256,576.67523,2114.8652,157.44246,3.6032975,0.43158233,3743.6794,8423.103,569.51154,3194.4675,125.98941,0.79073244,0.28752676,522.905,6.419777,2190.0247,523.0754,189.14252,19.031885,0.15912135,1.062814,270.32208,0.38808653,1687.3313,252.42992,102.17008,15.567117,0.099524744,0.3315833,2271.6018,78.896576,5746.15,1961.2101,1880.9535,59.463684,5.439664,83.519714,1554.6188,3319.0103,1342.1957,718.4057,486.22165,15.842433,2067.6829,181.4379,245.78003,1.4261051,2000.2882,0,11.533865,0.56242424,0.19798064,45.5829,7.316637,3.4786503,0.020667965,0.04191871,0.10386835,64.23658,0.88310534,653.8299,7956.9805,81.20695,907.35565,0.5277344,225.73497,1807.9666,145.38535,1410.1495,10.11752,5606.877,12.34072,5.3413997,0.73933375,2266.4917,1.0912783,11593.989,3590.2563,938.54724,549.03577,22.206148,584.8819,1.4417341,0.20651114,97.97707,2.3287368,5.210344,0.095707744,0,1269.8865,1135.3439,1096.3691,276.82114,50.242622,84.83362,409.88605,239.62117,8347.397,999.00305,148.86812,503.65158,5.723534,0,783.1617,43.576065,610.5947,35.807415,798.79364,0,7.965181,3573.2798,9.639508,5811.6772,7.25574,241.23445,274.84863,4.870567,1186.9844,539.6345,3760.8845,114.857574,1.2677929,2.0881367,16.3683,0,598.3515,301.75653,6.3386526,25.872095,0.97492826,0.6823362,8180.3325,56.572983,10231.923,7062.5684,1468.2258,885.6515,313.5432,1976.0652,0,7391.5693,2427.316,88.76005,841.42065,0,64.52306,5234.514,2078.1465,604.76215,72.15033,128.71954,224.12134,2368.1528,16.30625,47.091454,378.90857,84.08923,1.4488682
2020-02-24/2020-03-01,38.288567,3736.0967,2888.7173,1924.3574,522.1725,0.1406585,141.58543,1.3026054,0.006663866,18.900898,2.0361776,2.217682,0.5088966,0.008331303,1253.804,27.665546,1316.0853,1082.4841,1961.1511,230.39946,0.31184646,95.52807,961.6806,342.58807,1077.8368,0.62087065,115.33554,3.465253,1170.9022,2.8238008,1609.2991,767.63794,2194.7048,163.38657,0.010282935,0.5699545,2314.0183,4495.3467,956.55383,6774.1973,145.86267,0.19830135,1.549574,1299.4481,5.499407,2037.8223,448.08475,100.532425,16.303377,0.014701935,0.9828882,4.4039474,0.07403104,260.6965,48.15332,32.496513,189.93877,0.00013060978,0.22442219,2666.0745,92.59728,6668.734,2301.782,2207.5884,69.78979,0.024020297,105.82306,1230.1901,1809.8365,1062.0969,568.48376,384.7535,13.533852,842.04315,73.88887,61.832626,0.5807674,814.597,0,5.0708003,0.38381797,0.13510899,30.760214,4.9931283,2.3739529,0.014104532,0.00019680192,0.07652367,57.056858,0.51561505,377.4886,4645.8135,47.413963,529.77374,0.0021197675,142.28625,1102.178,169.06259,1621.5072,11.765248,6520.0146,14.350516,0.042730868,0.928151,1942.9094,14.699458,12992.877,820.458,1720.5962,470.65112,0.13095793,130.03592,0.17811207,0.025512433,11.969027,0.82017684,0.64368683,0.011823762,0,485.83716,429.5161,419.45236,239.66287,43.49848,35.038445,132.1649,77.264175,4264.8076,322.12158,12.807216,162.39902,0.05209384,0,215.32634,11.981024,166.00645,24.54157,466.26556,0,3.749125,2086.3179,5.628176,3355.3708,4.2363777,140.8485,260.18558,1.4892204,3349.4468,1539.9346,6185.802,53.256218,0.102288425,6.4329886,9.556882,0,345.45816,176.18524,3.7009215,15.105829,0.003916026,0.43009296,4776.2217,33.031017,5907.405,4123.5967,3467.595,517.10144,197.63394,1153.7565,0,4267.5254,1417.2262,51.823948,491.27655,0,40.67044,2461.279,1369.3523,803.5989,95.872284,171.0406,321.50607,11.446869,0.077939495,6.569667,1.8315209,0.11315092,0.038615353
2020-03-02/2020-03-08,22.865618,6665.8154,3189.8464,2124.9617,576.6065,0.1553215,127.923485,1.2562156,0.0037215233,31.535412,22.016645,2.2900538,0.5255038,0.007039234,1293.0039,31.97889,2348.1165,1195.328,2165.592,254.41751,0.34435487,86.31028,991.7474,611.2342,1190.1956,0.6855934,127.35879,3.1308813,893.66504,1.2480499,2124.987,872.5217,2976.0693,133.526,0.00840362,0.38111475,2386.3635,8020.4507,1056.27,7480.375,161.06816,2.2129128,1.4000523,1340.0751,3.284201,3635.8142,494.79547,111.01246,18.00292,0.01623455,0.88804674,4.5416355,0.04421072,465.12616,53.173016,15.262146,209.73898,0.00014422537,0.20276712,1670.8348,33.604946,4297.724,1544.617,1481.4081,46.832623,0.016118884,58.103607,1268.6517,3229.048,1172.8154,627.74554,424.86224,12.22793,868.3695,44.125805,609.03265,0.6413094,899.51483,0,4.5815063,0.395818,0.08068596,54.881355,5.5136385,2.6214254,0.015574871,0.0002173176,0.069139674,503.70154,0.30792114,673.5028,5130.1177,52.356594,585.0001,0.0023407433,46.11749,1136.6375,100.962814,2893.0403,12.991708,7199.6953,15.846482,0.04718534,0.83859116,2003.6552,8.778396,23181.443,905.9856,1899.961,519.71454,0.14460969,117.488365,0.05398813,0.0044781705,6.276669,0.26619995,0.20891756,0.003837565,0,501.02676,766.3286,463.17828,264.6466,48.03296,31.657478,136.29701,46.141533,7609.116,355.70123,14.142304,179.32835,0.057524335,0,471.5573,15.194097,628.9668,57.548634,1093.3672,0,16.959593,2151.5432,3.3611026,5986.5435,4.6779985,155.53128,23.701454,0.24503945,1638.6469,468.523,9261.826,99.72197,0.031121096,1.6014286,9.855677,0,616.35516,194.55173,4.0867248,16.680536,0.004324253,0.38859224,4925.552,19.725851,10539.788,4553.462,3829.0752,571.00684,178.56374,1189.8285,0,7613.9727,1564.9653,130.2189,542.4898,0,36.746037,1851.7937,1782.4312,647.3913,77.236145,137.79288,120.3456,149.89955,0.5280371,7.254521,7.679776,0.47445485,0.13248381
2020-03-09/2020-03-15,63.795067,6224.9487,4716.7695,3466.7815,870.0257,2.1699889,193.02022,9.547356,0.04884232,28.894459,14.434081,17.574871,3.7299228,0.04996307,1846.646,40.746758,1938.3761,1562.4175,2888.4514,339.3403,0.045207813,115.1201,1216.6141,433.40512,873.2597,4.4050474,145.91011,3.586929,2174.522,1.9685948,1121.9128,524.44574,3591.4207,113.903984,0.06637633,0.32510874,3855.5315,7489.9907,635.84515,15609.945,243.03131,1.3126079,2.1124997,2121.7712,8.979566,3327.4055,731.644,177.48776,26.620543,0.22227342,1.3131361,7.337703,0.12334772,434.36346,78.62591,83.19949,177.06915,0.002014968,0.30594957,2198.4902,76.357285,5499.1484,1860.1073,1968.3077,57.549843,0.33534947,71.400085,2049.7,3015.484,1734.2183,1024.1387,641.0629,18.450386,1402.983,123.1109,103.02338,0.9482905,1467.5182,0,6.912907,1.3877654,2.326806,292.42,84.2695,44.20496,0.24290414,0.031381913,1.0782962,120.1074,1.0853932,2671.8115,9583.947,107.917175,1115.1989,0.041316528,245.0705,1836.4108,281.68622,2701.6978,19.210573,11745.98,23.91032,0.65922403,1.2653269,3237.21,7.401065,21648.26,672.0614,3099.7,784.1829,2.0203354,177.27496,0.5831187,0.083524786,39.18527,1.980336,2.278562,0.038709607,0,475.7721,103.73425,461.88477,253.76494,42.597286,28.074957,279.16873,163.20326,3836.6855,666.7945,29.250145,343.03156,0.24831383,0,761.8726,42.391518,587.3679,85.09599,840.21063,0,5.111094,3476.144,9.377473,5590.6025,6.917254,253.74232,434.4345,2.4865637,5592.613,2519.793,11167.591,547.27203,1.5813973,8.7886,15.923341,0,575.5904,287.67966,6.667305,25.16881,0.060413964,0.5863359,7957.967,55.035133,9842.703,6733.105,6246.965,861.5765,269.4299,1922.349,0,7110.396,2314.0823,93.362206,818.5479,0,55.445095,2029.6124,1129.1912,649.4013,85.480675,141.04298,216.92401,77.251724,0.52599114,12.609011,13.364584,2.7430832,0.045444973
2020-03-16/2020-03-22,25.727697,4892.873,3707.4287,2724.9292,683.8497,1.7056351,36.196598,19.860353,0.025737837,51.89273,22.863482,36.55915,7.758959,0.02479646,1451.4838,16.432625,498.9369,1228.0771,2270.3542,266.7252,0.03553383,21.58818,956.272,340.66113,686.39166,3.4624152,114.686935,0.67264813,1709.1995,0.79390806,881.83575,412.22006,2822.893,89.52977,0.052172493,0.25553897,3030.4927,5887.2085,283.292,12269.575,191.02525,1.0317239,0.39615187,1667.7354,3.6213384,2615.3782,575.08014,139.50731,20.924036,0.17470933,0.24624924,10.778892,0.09296751,638.06903,115.4995,122.21798,260.11017,0.0029599378,0.37055477,1728.0372,30.793917,4322.3867,1462.0646,1547.1113,45.234802,0.2635883,13.38948,395.09735,1401.2969,334.28552,197.41156,123.570404,3.1914146,1102.76,49.649014,80.97749,0.74536675,1153.4852,0,1.2963604,1.0907983,0.9383699,229.84532,66.23672,34.745552,0.1909253,0.02466652,0.20221029,89.90097,0.5059856,2427.568,8707.827,98.05194,1013.2531,0.037539583,53.124268,1443.4388,113.60034,2123.565,15.099719,9232.46,18.793772,0.5181572,0.23728369,378.2955,0.44375178,5918.581,822.69025,362.22647,91.63844,0.23609328,20.573051,0.45833746,0.06565139,30.800047,1.5565649,1.7909734,0.030426186,0,373.96204,81.53625,363.04645,199.462,33.48196,5.26483,78.82208,23.642605,2615.14,188.26656,30.926147,96.85348,0.07011035,0,598.84015,33.320183,461.67755,66.886375,660.4147,0,0.95847106,2732.2922,3.7818077,4394.27,5.43704,199.44423,463.13766,1.3601,5962.1177,2686.2761,11905.436,583.43036,1.6858807,2.2353327,12.51592,0,452.42032,226.11935,5.2405744,19.782957,0.047486033,0.10995414,3304.107,7.8472323,4086.6357,2795.5571,2346.6624,357.7221,26.689108,798.13226,0,2952.1353,960.7745,38.76267,223.63326,0,10.397483,1595.2974,887.5565,510.4365,67.18874,110.86132,82.1002,220.79558,1.5033528,11.069844,38.19771,7.8400846,0.1298877
