year_weeks,other_יהודה ושומרון,other_מחוז הדרום,other_מחוז המרכז,other_מחוז הצפון,other_מחוז חיפה,other_מחוז ירושלים,other_מחוז תל אביב,אבטיחים_other,אבטיחים_יהודה ושומרון,אבטיחים_מחוז הדרום,אבטיחים_מחוז המרכז,אבטיחים_מחוז הצפון,אבטיחים_מחוז חיפה,אבטיחים_מחוז תל אביב,אשכוליות_other,אשכוליות_יהודה ושומרון,אשכוליות_מחוז הדרום,אשכוליות_מחוז המרכז,אשכוליות_מחוז הצפון,אשכוליות_מחוז חיפה,אשכוליות_מחוז ירושלים,אשכוליות_מחוז תל אביב,בטטות_other,בטטות_מחוז הדרום,בטטות_מחוז המרכז,בטטות_מחוז הצפון,בטטות_מחוז חיפה,בטטות_מחוז תל אביב,בצלים_other,בצלים_יהודה ושומרון,בצלים_מחוז הדרום,בצלים_מחוז המרכז,בצלים_מחוז הצפון,בצלים_מחוז חיפה,בצלים_מחוז ירושלים,בצלים_מחוז תל אביב,גזרים_other,גזרים_מחוז הדרום,גזרים_מחוז המרכז,גזרים_מחוז הצפון,גזרים_מחוז חיפה,גזרים_מחוז ירושלים,גזרים_מחוז תל אביב,חסה_other,חסה_יהודה ושומרון,חסה_מחוז הדרום,חסה_מחוז המרכז,חסה_מחוז הצפון,חסה_מחוז חיפה,חסה_מחוז ירושלים,חסה_מחוז תל אביב,חצילים_other,חצילים_יהודה ושומרון,חצילים_מחוז הדרום,חצילים_מחוז המרכז,חצילים_מחוז הצפון,חצילים_מחוז חיפה,חצילים_מחוז ירושלים,חצילים_מחוז תל אביב,כרוב_other,כרוב_יהודה ושומרון,כרוב_מחוז הדרום,כרוב_מחוז המרכז,כרוב_מחוז הצפון,כרוב_מחוז חיפה,כרוב_מחוז ירושלים,כרוב_מחוז תל אביב,לימונים_other,לימונים_מחוז הדרום,לימונים_מחוז המרכז,לימונים_מחוז הצפון,לימונים_מחוז חיפה,לימונים_מחוז תל אביב,לפת_other,לפת_יהודה ושומרון,לפת_מחוז הדרום,לפת_מחוז המרכז,לפת_מחוז הצפון,לפת_מחוז חיפה,לפת_מחוז תל אביב,מלונים_other,מלונים_יהודה ושומרון,מלונים_מחוז הדרום,מלונים_מחוז המרכז,מלונים_מחוז הצפון,מלונים_מחוז חיפה,מלונים_מחוז ירושלים,מלונים_מחוז תל אביב,מלפפונים_other,מלפפונים_יהודה ושומרון,מלפפונים_מחוז הדרום,מלפפונים_מחוז המרכז,מלפפונים_מחוז הצפון,מלפפונים_מחוז חיפה,מלפפונים_מחוז ירושלים,מלפפונים_מחוז תל אביב,סלק_other,סלק_יהודה ושומרון,סלק_מחוז הדרום,סלק_מחוז המרכז,סלק_מחוז הצפון,סלק_מחוז חיפה,סלק_מחוז ירושלים,סלק_מחוז תל אביב,עגבניות_other,עגבניות_יהודה ושומרון,עגבניות_מחוז הדרום,עגבניות_מחוז המרכז,עגבניות_מחוז הצפון,עגבניות_מחוז חיפה,עגבניות_מחוז ירושלים,עגבניות_מחוז תל אביב,ענבים_other,ענבים_יהודה ושומרון,ענבים_מחוז הדרום,ענבים_מחוז המרכז,ענבים_מחוז הצפון,ענבים_מחוז חיפה,ענבים_מחוז תל אביב,פומלית_other,פומלית_מחוז הדרום,פומלית_מחוז המרכז,פומלית_מחוז הצפון,פומלית_מחוז חיפה,פומלית_מחוז תל אביב,פלפלים_other,פלפלים_יהודה ושומרון,פלפלים_מחוז הדרום,פלפלים_מחוז המרכז,פלפלים_מחוז הצפון,פלפלים_מחוז חיפה,פלפלים_מחוז ירושלים,פלפלים_מחוז תל אביב,צנון_other,צנון_יהודה ושומרון,צנון_מחוז הדרום,צנון_מחוז המרכז,צנון_מחוז הצפון,צנון_מחוז ירושלים,צנון_מחוז תל אביב,צנונית_other,צנונית_יהודה ושומרון,צנונית_מחוז הדרום,צנונית_מחוז המרכז,צנונית_מחוז הצפון,קולורבי_other,קולורבי_יהודה ושומרון,קולורבי_מחוז הדרום,קולורבי_מחוז המרכז,קולורבי_מחוז הצפון,קולורבי_מחוז חיפה,קולורבי_מחוז ירושלים,קולורבי_מחוז תל אביב,קישואים_other,קישואים_יהודה ושומרון,קישואים_מחוז הדרום,קישואים_מחוז המרכז,קישואים_מחוז הצפון,קישואים_מחוז חיפה,קישואים_מחוז ירושלים,קישואים_מחוז תל אביב,קלמנטינות_other,קלמנטינות_יהודה ושומרון,קלמנטינות_מחוז הדרום,קלמנטינות_מחוז המרכז,קלמנטינות_מחוז הצפון,קלמנטינות_מחוז חיפה,קלמנטינות_מחוז תל אביב,"תפו""א_other","תפו""א_יהודה ושומרון","תפו""א_מחוז הדרום","תפו""א_מחוז המרכז","תפו""א_מחוז הצפון","תפו""א_מחוז חיפה","תפו""א_מחוז ירושלים","תפו""א_מחוז תל אביב",תפוזים_other,תפוזים_מחוז הדרום,תפוזים_מחוז המרכז,תפוזים_מחוז הצפון,תפוזים_מחוז חיפה,תפוזים_מחוז תל אביב,תפוחים_other,תפוחים_מחוז הדרום,תפוחים_מחוז המרכז,תפוחים_מחוז הצפון,תפוחים_מחוז חיפה,תפוחים_מחוז תל אביב
2020-01-13/2020-01-19,3900.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21080.0,2400.0,9880.0,0.0,0.0,0.0,0.0,28400.0,14400.0,0.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560.0,0.0,1560.0,1560.0,0.0,1560.0,0.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-20/2020-01-26,3900.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21080.0,2400.0,9880.0,0.0,0.0,0.0,0.0,28400.0,14400.0,0.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560.0,0.0,1560.0,1560.0,0.0,1560.0,0.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27/2020-02-02,3900.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21080.0,2400.0,9880.0,0.0,0.0,0.0,0.0,28400.0,14400.0,0.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560.0,0.0,1560.0,1560.0,0.0,1560.0,0.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03/2020-02-09,3900.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21080.0,2400.0,9880.0,0.0,0.0,0.0,0.0,28400.0,14400.0,0.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560.0,0.0,1560.0,1560.0,0.0,1560.0,0.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10/2020-02-16,3900.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21080.0,2400.0,9880.0,0.0,0.0,0.0,0.0,28400.0,14400.0,0.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560.0,0.0,1560.0,1560.0,0.0,1560.0,0.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17/2020-02-23,3900.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21080.0,2400.0,9880.0,0.0,0.0,0.0,0.0,28400.0,14400.0,0.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560.0,0.0,1560.0,1560.0,0.0,1560.0,0.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24/2020-03-01,3900.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21080.0,2400.0,9880.0,0.0,0.0,0.0,0.0,28400.0,14400.0,0.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560.0,0.0,1560.0,1560.0,0.0,1560.0,0.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02/2020-03-08,3900.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21080.0,2400.0,9880.0,0.0,0.0,0.0,0.0,28400.0,14400.0,0.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560.0,0.0,1560.0,1560.0,0.0,1560.0,0.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09/2020-03-15,3900.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21080.0,2400.0,9880.0,0.0,0.0,0.0,0.0,28400.0,14400.0,0.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560.0,0.0,1560.0,1560.0,0.0,1560.0,0.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16/2020-03-22,3900.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21080.0,2400.0,9880.0,0.0,0.0,0.0,0.0,28400.0,14400.0,0.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560.0,0.0,1560.0,1560.0,0.0,1560.0,0.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
